company_name,esg,esg_e,esg_s,esg_g,per,pbr,dividend_yield,company_code,male_contract_employee_count,female_contract_employee_count,total_salary_male,total_salary_female,male_regular_employee_count,female_regular_employee_count,total_male_employees,total_female_employees,average_male_salary,average_female_salary,operating_profit_before_tax,net_profit_margin,comprehensive_income_margin,gross_profit_margin,cost_of_goods_sold,roe,sg_andaexpense_ratio,operating_income_on_total_assets,pre_tax_income_on_total_assets,operating_income_on_equity,pre_tax_income_on_equity,operating_income_on_paid_in_capital,pre_tax_income_on_paid_in_capital,roi,operating_expense_ratio,equity_ratio,debt_ratio,liquidity_ratio,quick_ratio,current_liabilities_ratio,non_current_liabilities_ratio,interest_coverage_ratio,net_interest_coverage_ratio,non_current_asset_ratio,financial_cost_burden_ratio,capital_retention_ratio,retention_amount_to_equity_ratio,financial_leverage,non_current_asset_suitability_ratio,non_current_asset_composition_ratio,tangible_asset_composition_ratio,current_asset_composition_ratio,inventory_composition_ratio,current_to_non_current_asset_ratio,inventory_to_current_asset_ratio,receivables_to_payables_ratio,payables_to_inventory_ratio,sales_growth_rate_yoy,gross_profit_growth_rate_yoy,operating_profit_growth_rate_yoy,pre_tax_profit_growth_rate_yoy,net_profit_growth_rate_yoy,comprehensive_income_growth_rate_yoy,total_asset_growth_rate_yoy,non_current_asset_growth_rate_yoy,tangible_asset_growth_rate_yoy,total_liabilities_growth_rate_yoy,total_borrowings_growth_rate_yoy,equity_growth_rate_yoy,current_asset_growth_rate_yoy,receivables_growth_rate_yoy,inventory_growth_rate_yoy,current_liabilities_growth_rate_yoy,payables_growth_rate_yoy,non_current_liabilities_growth_rate_yoy,total_asset_turnover,receivables_turnover,inventory_turnover,cost_of_goods_sold_to_inventory,payables_turnover,non_current_asset_turnover,tangible_asset_turnover,debt_to_equity_turnover,equity_turnover,capital_turnover,dividend_payout_ratio,female_executives,male_executives,status,message,corp_name_eng,stock_name,stock_code,ceo_name,corp_cls,jurir_no,bizr_no,address,home_url,ir_url,phone_number,fax_number,industry_code,establishment_date,accounting_month
311690,C,D,C,B,,,,1071041,0,1,5760000000,4745000000,72,64,72,65,80000000,73000000,,-410.989,-416.183,33.056,66.944,-37.825,608.057,-35.127,,-52.92,,-855.346,,-611.369,608.057,78.456,27.46,442.931,,20.592,6.868,,,36.251,17.755,1311.355,,127.46,33.921,28.441,13.944,71.559,0.173,251.603,0.242,,,36.822,31.121,-3.54,,-34.372,-32.964,-0.285,-35.937,-11.534,-52.957,,43.984,28.035,,107.212,-57.91,,-27.312,6.109,,4765.346,3190.092,,16.799,41.188,18.17,9.203,148.756,,1,7,0,정상,CJ Bioscience,CJ 바이오사이언스,311690,천종식,K,1.10111E+12,1198623145,서울특별시 중구 세종대로 14 그랜드센트럴타워 B동 7층,www.cjbioscience.com,,02-6078-3456,02-6078-3457,701,20091118,12
120,A,A,A+,B+,9.8,0.57,0.51,113410,160,40,471551000000,60032000000,5809,1032,5969,1072,79000000,56000000,,2.064,2.362,11.04,88.96,6.014,,5.042,,11.891,,421.031,,212.934,,43.207,131.446,94.891,,64.859,66.588,,,169.901,1.955,3321.142,,231.446,101.989,73.409,35.564,26.591,0.319,36.224,1.199,,,-2.991,9.538,16.622,,23.399,472.313,-3.463,1.966,-1.078,-6.088,,0.218,-15.835,,-13.012,-15.648,,5.567,123.542,,,,,172.979,351.696,214.479,291.378,,,1,6,0,정상,CJ Logistics Corporation ,CJ대한통운,120,"신영수, 민영학 (각자 대표)",Y,1.10111E+12,1108105034,서울특별시 종로구 종로5길 7(청진동) Tower 8,www.cjlogistics.com,www.cjlogistics.com,02-3782-0114,02-771-8624,493,19301115,12
11150,B+,B+,A,B,23.06,1.78,,129013,4,16,7434000000,4984000000,173,162,177,178,42000000,28000000,,2.99,3.272,14.068,85.932,5.77,11.278,2.657,,5.385,,22.913,,24.552,11.278,46.401,115.513,93.457,,110.41,5.103,,,112.327,1.726,,,215.513,106.873,52.121,34.225,47.879,14.139,91.862,29.531,,,-2.85,-3.093,0.104,,-40.223,-43.417,17.293,5.416,5.204,33.135,,3.119,33.69,,19.528,35.313,,-1.254,95.212,,679.237,583.683,,173.671,264.219,187.928,192.987,821.177,,0,5,0,정상,CJ SEAFOOD CORPORATION,CJ씨푸드,11150,박태준,Y,1.10111E+12,2298112289,경기도 성남시 중원구  둔촌대로388번길 32 (상대원동),www.cjseafood.net,,031-730-9114,031-746-1606,108,19760315,12
97950,A,A,A+,A,12.34,0.76,1.55,635134,29,42,473574000000,171322000000,6085,2456,6114,2498,77457311,68583667,,1.928,2.123,20.854,79.146,4.8,,4.333,,11.082,,1576.868,,683.036,,39.789,151.328,95.08,,77.436,70.21,,,170.001,3.137,,,251.328,99.877,67.641,40.111,29.295,8.949,43.309,30.547,,,-3.511,-7.662,-22.414,,-30.3,-36.966,-1.356,-0.985,-0.311,-3.559,,2.176,-11.129,,-17.243,-6.437,,-5.312,97.362,,992.111,785.215,,144.212,244.018,159.862,249.033,,,1,5,0,정상,CJ CHEILJEDANG CORP.,CJ제일제당,97950,"손경식,강신호(각자 대표이사)",Y,1.10111E+12,1048609535,서울특별시 중구  동호로 330,www.cj.co.kr,,726-8114,02-726-8112,108,20070904,12
51500,A,B+,A+,A,,,,127954,136,163,107951000000,159134000000,2090,5377,2226,5540,48495508,28724549,,1.942,1.649,18.68,81.32,15.435,15.451,6.942,,25.662,,836.076,,502.883,15.451,26.878,272.055,79.792,,183.412,88.643,,,225.707,1.495,,,372.055,119.648,60.665,31.963,39.335,10.04,64.84,25.524,,,11.885,12.223,1.447,,14.274,-30.325,-7.408,2.865,2.893,-6.98,,-8.552,-19.765,,-24.092,-14.821,,14.908,215.022,,1922.278,1563.198,,373.826,709.617,294.762,794.834,,,2,10,0,정상,CJ Freshway Corporation,CJ프레시웨이,51500,이건일,K,1.80111E+12,6038111270,경기도 용인시 기흥구  기곡로 32,www.cjfreshway.com,,02-2149-6607,02-2149-6649,4632,19881027,12
590,C,D,D,B,4.4,0.25,0.73,149026,0,0,411796000,0,6,0,6,0,68632667,,,12.878,12.339,21.699,78.301,6.536,10.575,5.114,,5.646,,331.382,,383.645,10.575,90.44,10.571,941.013,,7.239,3.332,,,42.453,3.961,,,110.571,41.084,38.394,8.545,61.606,11.041,160.454,17.922,,,-1.884,11.028,22.369,,17.868,-0.155,5.434,-2.282,-4.594,8.932,,5.078,10.892,-4.014,-10.258,9.361,,8.01,45.978,,383.767,300.493,,115.319,511.852,488.564,50.755,2979.089,-5.494,2,2,0,정상,"CS Holdings Co.,Ltd.",CS홀딩스,590,장원영,Y,1.10111E+12,2208113170,경상북도 포항시 남구 괴동로 43 (장흥동),www.chosunwelding.com,,02-3459-9363,052-237-3311,64992,19490112,12
12030,C,D,B,C,25.61,0.7,,163345,54,12,31330894000,8611093000,328,106,382,118,82018047,72975364,,4.428,23.981,18.484,81.516,5.97,10.41,5.724,,10.886,,36.807,,20.186,10.41,44.942,122.51,72.341,,110.43,12.08,,,142.624,5.174,211.763,,222.51,127.252,64.098,0.362,35.902,0.169,56.012,0.47,,,14.262,26.931,56.819,,255.412,-171.971,112.249,88.133,70.675,274.36,,38.679,175.238,,-74.089,295.016,,153.282,70.895,,,,,106.243,,149.496,134.839,455.908,,2,19,0,정상,DB Inc.,DB,12030,"문덕식,강운식 (각자 대표이사)",Y,1.10111E+12,2118119938,서울특별시 강남구 삼성로96길 23 7층,www.dbinc.co.kr,,02-2136-6000,02-2136-6007,62021,19770315,12
16610,B,C,B,B+,23.81,0.17,4.64,115694,68,31,68675000000,18521000000,455,234,523,265,131309751,69890566,,1.038,11.281,,,1.128,,0.213,,1.918,,10.035,,5.902,,11.495,769.928,,,,,,,,,279.488,,869.928,,,2.511,,,,,,,-1.323,,-10.61,,16.305,438.153,4.659,,137.057,3.766,,12.087,,,,,,,12.088,,,,,,662.211,13.601,108.68,568.711,,0,39,0,정상,"DB Financial Investment Co.,LTD.",DB금융투자,16610,곽봉석,Y,1.10111E+12,1168159557,서울특별시 영등포구 국제금융로8길 32 동부증권빌딩,db-fi.com,,02-369-3000,780-1310,66121,19821220,12
818158,,,,B+,,,,168933,2,2,29525418000,18632016000,272,310,274,312,107757000,59718000,,,,,,5.765,,1.334,,5.901,,57.25,,55.932,,17.33,477.032,,,,,,,,,740.656,,577.032,,,0.303,,,,,,,,,-7.443,,18.233,-103.242,-9.639,,-8.236,2.857,-83.826,-42.793,,,,,,,,,,,,,,,,,,0,20,0,정상,"DB Life Insurance Co., Ltd.",DB생명보험,,김영만,E,1.10111E+12,2028118158,서울특별시 강남구 테헤란로 432 DB금융센터 7층,www.idblife.co.kr,,02)3011-4088,0505)129-0382,65110,19890414,12
5830,B+,B+,A,B+,4.02,0.62,5.21,159102,94,175,259806900000,173208213000,1872,2556,1966,2731,132150000,63423000,,,,,,15.538,,3.799,,19.93,,6313.552,,4921.975,,17.161,482.705,,,,,,,,,,,582.705,,,1.019,,,,,,,,,-18.013,,-14.568,-63.866,4.173,,21.265,9.285,,-15.016,,,,,,,,,,,,,,,,,,1,62,0,정상,"DB INSURANCE CO.,LTD",DB손해보험,5830,"김정남, 정종표",Y,1.10111E+12,2018145593,서울특별시 강남구  테헤란로 432,www.idbins.com,,02-1588-0100,0505-181-0027,65121,19681101,12
990,B+,A,A,B,8.06,1,1.38,160843,5,12,122015000000,56852000000,1056,920,1061,932,115000000,61000000,,22.885,22.721,38.296,61.704,15.654,15.299,12.684,,15.73,,119.268,,118.689,15.299,85.157,17.43,466.946,,12.652,4.778,,,58.353,0.922,,,117.43,55.692,49.692,46.536,50.308,3.996,101.24,7.942,,,-30.863,-52.36,-65.16,,-52.511,-52.247,-4.612,24.614,26.292,-40.223,,6.441,-22.553,,3.307,-47.092,,-8.913,55.153,,1436.696,886.502,,126.129,135.483,284.755,68.401,518.622,21.391,2,35,0,정상,"DB HiTek Co.,LTD",DB하이텍,990,조기석,Y,1.10111E+12,2118110771,경기도 부천시 수도로 90 (주)DB하이텍,www.dbhitek.co.kr,,02-3484-2888,02-550-1899,2611,19530428,12
139130,A,A+,A,A,4.02,0.22,6.99,878915,18,11,14248000000,2210000000,86,15,104,26,137000000,85000000,,,,,,6.496,,0.583,,8.419,,63.171,,48.737,,6.73,1385.78,,,,,,,,,573.653,,1485.78,,,0.871,,,,,,,,,-14.103,,-7.458,169.028,3.752,,-2.898,4.188,-9.176,-1.938,,,,,,,,,,,,,,,,,,2,13,0,정상,DGB Financial Group,DGB금융지주,139130,황병우,Y,1.70111E+12,5028610560,대구광역시 북구 옥산로 111 대구은행 제2본점 9층,www.dgbfg.co.kr,,537407900,053-740-7999,64992,20110517,12
210,A,A,A,A,,0.25,2.29,109693,4,3,4809000000,606000000,17,3,21,6,229000000,101000000,-2.411,-2.411,-0.455,18.456,81.544,-2.648,15.453,1.249,-1.003,3.299,-2.648,108.641,-87.217,-87.217,15.453,37.406,167.339,90.226,,68.901,98.438,,,205.173,7.972,,,267.339,103.394,76.746,32.698,23.254,8.257,30.3,35.508,,,-3.013,-7.953,-47.026,-223.255,-223.255,-109.805,0.962,3.333,10.061,2.499,-9.364,-1.508,-6.144,,-13.367,34.455,,-12.121,41.601,,465.519,379.602,,54.832,132.685,66.96,109.845,3617.487,-38.491,2,8,0,정상,"DL Holdings CO.,LTD",DL,210,김종현,Y,1.10111E+12,1168135007,서울특별시 종로구 통일로 134 디타워 돈의문,www.dlholdings.co.kr,,02-2011-7114,02-2011-8035,20111,19391010,12
375500,A,A,B+,A,10.58,0.28,1.63,1524093,1636,552,463549000000,49556000000,3217,301,4853,853,95518030,58096131,,2.53,2.422,9.787,90.213,4.274,5.649,3.61,,6.99,,154.084,,94.209,5.649,51.035,95.942,154.264,,78.607,17.335,,,74.68,0.793,,,195.942,63.646,38.113,1.374,61.887,10.039,162.377,16.222,,,6.593,-16.022,-33.464,,-53.154,-33.411,4.115,-0.27,-2.873,6.843,,1.626,7.013,,10,16.754,,-22.852,87.245,,892.444,805.098,,224.082,6133.216,180.436,168.922,3723.749,21.897,3,59,0,정상,"DL E&C CO.,LTD.",DL이앤씨,375500,서영재,Y,1.10112E+12,6768701904,서울특별시 종로구 통일로 134,www.dlenc.co.kr,,02-2011-7114,,412,20210104,12
7340,C,C,B,D,3.42,0.67,3.2,116949,0,0,53214420000,7393130000,986,170,986,170,53970000,43489000,,8.67,9.027,25.256,74.744,22.443,10.256,10.708,,38.829,,9813.677,,5672.308,10.256,30.53,227.548,123.873,,100.753,126.795,,,202.742,4.358,,,327.548,89.395,61.897,16.402,38.103,13.723,61.559,36.015,,,3.576,12.691,16.336,,53.297,63.931,-0.527,0.395,5.283,-8.298,,23.235,-1.99,,-5.031,3.42,,-15.872,71.389,535.36,508.139,379.803,,115.869,447.618,98.574,258.855,,-7.601,0,42,0,정상,DN AUTOMOTIVE CORPORATION,DN오토모티브,7340,김상헌 김인환,Y,1.84511E+12,6218101580,경상남도 양산시 산막공단북11길 103 -,www.dnautomotive.com,,055-380-5800,055)370-7764,28202,19710623,12
4840,B+,B,A,B+,8.03,0.25,2.05,118266,2,4,5311880000,1383625000,59,21,61,25,87080000,55345000,,2.962,2.716,19.674,80.326,4.47,14.816,3.756,,7.331,,359.718,,219.317,14.816,51.69,93.462,128.267,79.983,79.525,13.936,,,91.457,5.937,4703.926,,193.462,80.27,47.274,41.897,52.726,12.774,111.534,24.227,,,11.478,-0.568,195.995,,517.926,272.892,1.948,-2.98,1.548,0.015,,3.823,6.812,,-13.752,-1.058,,6.616,77.299,,555.095,445.883,,159.502,184.137,158.489,150.894,7403.691,,1,4,0,정상,"DRB Holding Co.,Ltd",DRB동일,4840,류영식,Y,1.80111E+12,6218101635,부산광역시 금정구 공단동로55번길 28,www.drbworld.com,,051-520-9000,051) 528-3523,221,19450930,12
155660,D,C,C,D,3.72,0.29,1.48,110608,0,0,12798534000,1124319000,138,21,138,21,92743000,53539000,,6.029,5.784,16.543,83.457,8.347,8.209,6.852,,11.539,,303.273,,219.375,8.209,63.527,57.414,145.91,,48.772,8.642,,,86.251,4.927,2564.837,,157.414,79.39,54.792,30.178,45.208,20.832,82.508,46.08,,,-20.781,-23.202,-32.182,,-28.507,-32.945,-5.821,-0.238,-5.181,-22.85,,7.847,-11.803,,-16.275,-23.703,,-17.658,82.208,,370.783,309.443,,154.489,273.356,202.386,138.442,3638.689,5.47,1,14,0,정상,DSR CORP,DSR,155660,홍석빈,Y,1.80111E+12,6178100224,부산광역시 강서구 녹산산업중로192번길 7,www.dsr.com,,02-3420-3591,02-3420-3600,242,19650401,12
69730,C,C,C,B,4.68,0.29,1.47,151298,0,0,11406528000,895874000,144,14,144,14,79212000,63991000,,6.078,6.089,18.475,81.525,6.843,7.442,8.995,,12.422,,326.319,,179.775,7.442,74.223,34.729,199.378,,28.524,6.205,,,77.857,1.344,,,134.729,73.309,57.788,17.565,42.212,14.465,73.046,34.267,,,-18.623,-8.65,-10.894,,-55.253,-56.543,1.384,14.95,-3.774,-11.156,,6.61,-12.717,,-18.754,-22.547,,174.308,81.531,,501.881,409.158,,149.869,452.144,295.578,112.586,2957.689,6.675,1,10,0,정상,DSR WIRE CORP,DSR제강,69730,"홍하종, 홍석빈 (각자 대표이사)",Y,1.80111E+12,6178102687,전라남도 순천시  서면 산단1길 15,www.dsrcorp.com,,061-752-0121,061)753-0122,24123,19710901,12
17940,A,A,A,B+,4.64,0.27,7.26,165583,3,16,43245000000,2573000000,276,15,279,31,155000000,83000000,,2.739,2.665,5.229,94.771,13.364,4.038,2.085,,5.808,,271.647,,625.042,4.038,36.937,170.73,91.349,41.623,125.952,44.778,,,155.675,0.993,,,270.73,107.526,57.502,19.591,42.498,13.377,73.908,31.475,,,-2.04,-27.82,-66.572,,51.549,40.905,5.939,9.721,-1.867,2.473,,12.434,1.219,,11.805,24.997,,-31.996,175.175,,1343.801,1273.539,,309.828,860.9,273.288,487.937,,-11.596,1,10,0,정상,E1 Corporation,E1,17940,"구자용, 천정식 (각자 대표이사)",Y,1.10111E+12,1148116585,서울특별시 용산구 한강대로 92 LS용산타워,www.e1.co.kr,,02-3441-4114,(02) 6204-1407,46713,19840906,12
383220,B+,B+,A+,B,4.7,1.43,3.44,1568413,5,17,22281900000,25978226000,252,404,257,421,86700000,61706000,,21.482,21.445,68.044,31.956,37.597,40.152,30.87,,48.815,,,,,40.152,65.72,52.162,153.151,69.788,36.946,15.216,,,95.579,1.348,,,152.162,82.956,62.814,6.741,37.186,17.01,59.2,45.744,,,9.376,5.489,5.135,,-3.986,-3.255,27.699,29.981,75.102,9.625,,39.714,24.02,,14.655,-15.466,,292.525,110.676,,619.684,198.029,,177.566,1863.328,301.058,175.017,,14.359,3,20,0,정상,"F&F CO.,Ltd",F&F,383220,김창수,Y,1.10112E+12,1538102451,서울특별시 강남구 언주로 541,www.fnf.co.kr,,02-520-0027,02-597-1507,14111,20210503,12
7700,A,B+,A+,B+,,,,126487,0,0,382268000,338808000,4,4,4,4,95567000,84702000,19.815,19.816,19.966,67.903,32.097,12.939,42.006,13.836,10.586,16.909,12.938,2630.193,2012.447,2012.575,42.006,83.193,20.202,169.831,80.657,15.453,4.749,,,93.959,1.417,,,120.202,89.699,78.167,7.51,21.833,8.863,27.931,40.596,,,9.328,5.46,5.792,-5.72,-5.738,-4.391,6.826,3.901,23.687,-8.585,-93.808,10.593,18.801,-9.029,13.873,-15.208,,22.559,53.426,1056.392,621.38,199.446,,67.431,761.605,293.928,65.295,,-14.223,1,8,0,정상,"F&F Holdings Co., Ltd.",F&F 홀딩스,7700,박의헌,Y,1.10111E+12,2148609977,"서울특별시 강남구  언주로 541(역삼동,외 에프앤에프빌딩)",www.fnfholdings.com,,02-520-0001,02-597-1507,64992,19720224,12
